epoch,split,loss,acc,precision,recall,f1,time_s
1,train,1.111036,0.756635,0.0,0.0,0.0,1297.2
1,val,0.457164,0.888797,0.892771,0.888797,0.889116,
2,train,0.313166,0.919481,0.0,0.0,0.0,1297.8
2,val,0.329222,0.902956,0.906886,0.902956,0.903377,
3,train,0.212432,0.939233,0.0,0.0,0.0,1297.7
3,val,0.295239,0.914391,0.914981,0.914391,0.914113,
4,train,0.163503,0.953209,0.0,0.0,0.0,1297.5
4,val,0.31627,0.916168,0.918101,0.916168,0.916311,
5,train,0.131996,0.96385,0.0,0.0,0.0,1297.6
5,val,0.324719,0.921856,0.922684,0.921856,0.921769,
6,train,0.105297,0.971929,0.0,0.0,0.0,1297.5
6,val,0.35462,0.921204,0.921429,0.921204,0.921028,
test,test,0.305333,0.913152,0.913756,0.913152,0.912735,
